Segment,Timestamp,BVP
1,2021-11-15 22:59:26.000000,99.67
1,2021-11-15 22:59:26.015625,99.74
1,2021-11-15 22:59:26.031250,99.43
1,2021-11-15 22:59:26.046875,97.86
1,2021-11-15 22:59:26.062500,93.65
1,2021-11-15 22:59:26.078125,85.33
1,2021-11-15 22:59:26.093750,71.65
1,2021-11-15 22:59:26.109375,52.1
1,2021-11-15 22:59:26.125000,26.97
1,2021-11-15 22:59:26.140625,-2.66
1,2021-11-15 22:59:26.156250,-35.36
1,2021-11-15 22:59:26.171875,-69.32
1,2021-11-15 22:59:26.187500,-102.57
1,2021-11-15 22:59:26.203125,-132.98
1,2021-11-15 22:59:26.218750,-158.54
1,2021-11-15 22:59:26.234375,-177.94
1,2021-11-15 22:59:26.250000,-190.99
1,2021-11-15 22:59:26.265625,-198.73
1,2021-11-15 22:59:26.281250,-202.9
1,2021-11-15 22:59:26.296875,-204.88
1,2021-11-15 22:59:26.312500,-204.8
1,2021-11-15 22:59:26.328125,-201.36
1,2021-11-15 22:59:26.343750,-192.57
1,2021-11-15 22:59:26.359375,-177.01
1,2021-11-15 22:59:26.375000,-154.84
1,2021-11-15 22:59:26.390625,-128.05
1,2021-11-15 22:59:26.406250,-99.74
1,2021-11-15 22:59:26.421875,-72.95
1,2021-11-15 22:59:26.437500,-49.8
1,2021-11-15 22:59:26.453125,-31.23
1,2021-11-15 22:59:26.468750,-17.27
1,2021-11-15 22:59:26.484375,-7.44
1,2021-11-15 22:59:26.500000,-0.88
1,2021-11-15 22:59:26.515625,3.6
1,2021-11-15 22:59:26.531250,7.59
1,2021-11-15 22:59:26.546875,12.77
1,2021-11-15 22:59:26.562500,20.28
1,2021-11-15 22:59:26.578125,30.28
1,2021-11-15 22:59:26.593750,41.73
1,2021-11-15 22:59:26.609375,52.75
1,2021-11-15 22:59:26.625000,61.47
1,2021-11-15 22:59:26.640625,66.84
1,2021-11-15 22:59:26.656250,68.9
1,2021-11-15 22:59:26.671875,68.67
1,2021-11-15 22:59:26.687500,67.5
1,2021-11-15 22:59:26.703125,66.39
1,2021-11-15 22:59:26.718750,65.39
1,2021-11-15 22:59:26.734375,63.46
1,2021-11-15 22:59:26.750000,58.74
1,2021-11-15 22:59:26.765625,48.97
1,2021-11-15 22:59:26.781250,32.54
1,2021-11-15 22:59:26.796875,9.09
1,2021-11-15 22:59:26.812500,-19.78
1,2021-11-15 22:59:26.828125,-50.74
1,2021-11-15 22:59:26.843750,-79.55
1,2021-11-15 22:59:26.859375,-102.25
1,2021-11-15 22:59:26.875000,-116.24
1,2021-11-15 22:59:26.890625,-120.93
1,2021-11-15 22:59:26.906250,-117.63
1,2021-11-15 22:59:26.921875,-108.95
1,2021-11-15 22:59:26.937500,-98.02
1,2021-11-15 22:59:26.953125,-87.6
1,2021-11-15 22:59:26.968750,-79.47
1,2021-11-15 22:59:26.984375,-74.02
1,2021-11-15 22:59:27.000000,-70.18
1,2021-11-15 22:59:27.015625,-65.79
1,2021-11-15 22:59:27.031250,-58.48
1,2021-11-15 22:59:27.046875,-46.52
1,2021-11-15 22:59:27.062500,-29.58
1,2021-11-15 22:59:27.078125,-8.88
1,2021-11-15 22:59:27.093750,13.54
1,2021-11-15 22:59:27.109375,35.67
1,2021-11-15 22:59:27.125000,56.29
1,2021-11-15 22:59:27.140625,75.13
1,2021-11-15 22:59:27.156250,92.37
1,2021-11-15 22:59:27.171875,108.0
1,2021-11-15 22:59:27.187500,121.45
1,2021-11-15 22:59:27.203125,131.8
1,2021-11-15 22:59:27.218750,138.18
1,2021-11-15 22:59:27.234375,140.41
1,2021-11-15 22:59:27.250000,139.06
1,2021-11-15 22:59:27.265625,135.23
1,2021-11-15 22:59:27.281250,130.21
1,2021-11-15 22:59:27.296875,125.13
1,2021-11-15 22:59:27.312500,120.99
1,2021-11-15 22:59:27.328125,118.76
1,2021-11-15 22:59:27.343750,119.49
1,2021-11-15 22:59:27.359375,124.07
1,2021-11-15 22:59:27.375000,132.93
1,2021-11-15 22:59:27.390625,145.61
1,2021-11-15 22:59:27.406250,160.66
1,2021-11-15 22:59:27.421875,175.91
1,2021-11-15 22:59:27.437500,189.04
1,2021-11-15 22:59:27.453125,198.21
1,2021-11-15 22:59:27.468750,202.66
1,2021-11-15 22:59:27.484375,202.84
1,2021-11-15 22:59:27.500000,200.34
1,2021-11-15 22:59:27.515625,197.34
1,2021-11-15 22:59:27.531250,195.97
1,2021-11-15 22:59:27.546875,197.48
1,2021-11-15 22:59:27.562500,201.66
1,2021-11-15 22:59:27.578125,206.7
1,2021-11-15 22:59:27.593750,209.77
1,2021-11-15 22:59:27.609375,208.04
1,2021-11-15 22:59:27.625000,199.77
1,2021-11-15 22:59:27.640625,185.03
1,2021-11-15 22:59:27.656250,165.59
1,2021-11-15 22:59:27.671875,144.21
1,2021-11-15 22:59:27.687500,123.41
1,2021-11-15 22:59:27.703125,104.64
1,2021-11-15 22:59:27.718750,87.98
1,2021-11-15 22:59:27.734375,72.42
1,2021-11-15 22:59:27.750000,56.55
1,2021-11-15 22:59:27.765625,38.98
1,2021-11-15 22:59:27.781250,18.72
1,2021-11-15 22:59:27.796875,-4.76
1,2021-11-15 22:59:27.812500,-31.1
1,2021-11-15 22:59:27.828125,-58.69
1,2021-11-15 22:59:27.843750,-84.34
1,2021-11-15 22:59:27.859375,-103.59
